Data	AN	Data (sfarsit)	Nume Comp.	Moțiune	INFOs.	CA Team	TEMA	P/I	TIPOLOGIE	NIVEL	LIMBA	Runda	DRAW	Observatii	Lipsa	Link	TAGs (WIP)	TEMA 1	TEMA 2	TEMA 3
29-apr.-2011	2011	1-mai-2011	Fiat!	You are a young democratic activist in Libya. THW choose peaceful protest over violent revolution			Politica	Prepared	Prescriptiv	General	Engleza	Finala	Eliminatorii					Politica		
20-mai-2011	2011	22-mai-2011	Black Sea Open 2011	AP nu ar acorda ajutoare dictaturilor.		Serban Pitic, Eveline Dicu?	Relatii Internationale	Prepared	Prescriptiv	General	Romana		/		lipsa impromptu?			Relatii Internationale		
20-mai-2011	2011	22-mai-2011	Black Sea Open 2011	AP ar interzice grevele in sectorul serviciilor esentiale.		Serban Pitic, Eveline Dicu?	Politici Sociale	Prepared	Prescriptiv	General	Romana		/					Politici Sociale		
13-mai-2011	2011	15-mai-2011	Timisoara Open 2011	AP ar susţine parteneriate public-private în învăţâmântul superior.			Educatie	Impromptu		General	Romana	Finala	Eliminatorii		prep sau impromptu?			Educatie		
24-aug.-2011	2011	25-aug.-2011	Regionala Muntenia 2011	AP regreta existenta WikiLeaks.		Serban Pitic	Stiinta si tehnologie	Prepared	Descriptiv	General	Romana		/					Stiinta si tehnologie		
24-aug.-2011	2011	25-aug.-2011	Regionala Muntenia 2011	AP regreta banii publici investiti in Catedrala Mantuirii Neamului.		Serban Pitic	Religie	Prepared	Descriptiv	General	Romana		/					Religie		
24-aug.-2011	2011	25-aug.-2011	Regionala Muntenia 2011	AP ar acorda autonomie curiculara liceelor din Romania.		Serban Pitic	Educatie	Prepared	Prescriptiv	General	Romana		/					Educatie		
24-aug.-2011	2011	25-aug.-2011	Regionala Muntenia 2011	AP ar legaliza vanzarea de organe.		Serban Pitic	Libertati	Impromptu	Prescriptiv	General	Romana		/					Libertati		
24-aug.-2011	2011	25-aug.-2011	Regionala Muntenia 2011	AP ar decriminaliza pirateria online.		Serban Pitic	Justitie, Stiinta si tehnologie	Impromptu	Prescriptiv	General	Romana		/					Justitie	Stiinta si tehnologie	
24-aug.-2011	2011	25-aug.-2011	Regionala Muntenia 2011	AP crede ca orice regiune are dreptul a secesiona daca majoritatea populatiei acesteia o doreste.		Serban Pitic	Politica, Libertati	Impromptu	Descriptiv	General	Romana		/					Politica	Libertati	
1-sept.-2011	2011	5-sept.-2011	FNDA 2011 - ACDV	AP crede ca Occidentul ar trebui sa sprijine Primavara Araba.		Serban Pitic	Relatii Internationale	Prepared	Prescriptiv	General	Romana		/					Relatii Internationale		
1-sept.-2011	2011	5-sept.-2011	FNDA 2011 - ACDV	AP ar privatiza sistemul de asigurari de sanatate din Romania.		Serban Pitic	Medicina	Prepared	Prescriptiv	General	Romana		/					Medicina		
16-dec.-2011	2011	18-dec.-2011	Central Debate Open	AP ar ocupa Wall Street.		Flavia Negoescu	Trenduri Sociale, Economie	Prepared	Prescriptiv	General	Romana		/					Trenduri Sociale	Economie	
16-dec.-2011	2011	18-dec.-2011	Central Debate Open	AP ar da dreptul politiei sa foloseasca profile rasiste.		Flavia Negoescu	Justitie	Prepared	Prescriptiv	General	Romana		/					Justitie		
13-ian.-2012	2012	15-ian.-2012	PTA 2012 - VII	AP ar interzice fumatul in spatii publice inchise.		Serban Pitic	Libertati	Prepared	Prescriptiv	Incepator	Romana		/		impromptu			Libertati		
13-ian.-2012	2012	15-ian.-2012	PTA 2012 - VII	AP ar inaspri pedepsele pentru pirateria online.		Serban Pitic	Justitie	Prepared	Prescriptiv	Incepator	Romana		/					Justitie		
13-ian.-2012	2012	15-ian.-2012	PTA 2012 - VII	AP crede ca a consuma carne este imoral.		Serban Pitic	Moralitate	Prepared	Descriptiv	Incepator	Romana		/					Moralitate		
2-mar.-2012	2012	4-mar.-2012	Saint Geroge VI	AP ar acorda drept de vot cetăţenilor români care au împlinit 16 ani.		Bianca Dragomir	Politica	Prepared	Prescriptiv	General	Romana		/		impromptu			Politica		
2-mar.-2012	2012	4-mar.-2012	Saint Geroge VI	AP ar inlatura posibilitatea vetoului din cadrul proceselor decizionale ale UE.		Bianca Dragomir	Politica	Prepared	Prescriptiv	General	Romana		/					Politica		
16-mar.-2012	2012	18-mar.-2012	Timisoara Open 2012	AP ar introduce donarea de organe pe baza acordului prezumat al donatorului.			Medicina, Libertati	Prepared	Prescriptiv	General	Romana		/		TOT			Medicina	Libertati	
30-mar.-2012	2012	1-apr.-2012	Racovita Open 2012	AP ar tolera desfăşurarea fără autorizaţie a protestelor spontane non-violente.		Grigore Pop, Radu Cotarcea	Libertati	Prepared	Prescriptiv	General	Romana		/					Libertati		
30-mar.-2012	2012	1-apr.-2012	Racovita Open 2012	AP crede că Israel ar trebui să atace Iranul în mod unilateral şi preventiv.		Grigore Pop, Radu Cotarcea	Relatii Internationale	Prepared	Prescriptiv	General	Romana		/					Relatii Internationale		
30-mar.-2012	2012	1-apr.-2012	Racovita Open 2012	AP ar sancţiona penal faulturile intenţionate şi deosebit de violente din sport.		Grigore Pop, Radu Cotarcea	Sport	Impromptu	Prescriptiv	General	Romana	R4	Runde					Sport		
30-mar.-2012	2012	1-apr.-2012	Racovita Open 2012	AP ar sancţiona la fel de dur pasagerii unui autovehicul ca şi şoferul său, atunci când şoferul se află în stare de ebrietate.		Grigore Pop, Radu Cotarcea	Justitie	Impromptu	Prescriptiv	General	Romana	Sfert	Eliminatorii					Justitie		
30-mar.-2012	2012	1-apr.-2012	Racovita Open 2012	AP crede că în Romania ar trebui să existe un impozit special pe averile care depăşesc 1 milion de euro.		Grigore Pop, Radu Cotarcea	Economie	Impromptu	Prescriptiv	General	Romana	Semi	Eliminatorii					Economie		
30-mar.-2012	2012	1-apr.-2012	Racovita Open 2012	AP ar interzice reclamele care folosesc stereotipuri pe bază de gen.		Grigore Pop, Radu Cotarcea	Arta si Cultura, Educatie	Impromptu	Prescriptiv	General	Romana	Finala	Eliminatorii					Arta si Cultura	Educatie	
17-apr.-2012	2012	21-apr.-2012	FIAT!	THBT state capitalism is a viable option to liberal capitalism.			Economie	Prepared	Descriptiv	General	Engleza		/		ceva			Economie		
17-apr.-2012	2012	21-apr.-2012	FIAT!	THBT immigration is endangering European society.			Relatii Internationale, Politica, Minoritati	Prepared	Descriptiv	General	Engleza		/					Relatii Internationale	Politica	Minoritati
17-apr.-2012	2012	21-apr.-2012	FIAT!	THBT social media campaigns against Joseph Kony do more harm than good.			Mass/Social Media, Trenduri Sociale	Prepared	Descriptiv	General	Engleza		/					Mass/Social Media	Trenduri Sociale	
17-apr.-2012	2012	21-apr.-2012	FIAT!	THBT members of the EU should adopt the alternative vote.			Politica	Prepared	Prescriptiv	General	Engleza		/					Politica		
17-apr.-2012	2012	21-apr.-2012	FIAT!	THB in an European Army.			Securitate Razboi si Armata	Prepared	Descriptiv	General	Engleza	Finala	Eliminatorii					Securitate Razboi si Armata		
19-mai-2012	2012	20-mai-2012	Black Sea Open 2012	THW not re-ellect Barrack Obama as President of the United States.		Serban Pitic, David Moscovici	Politica	Prepared	Prescriptiv	General	Engleza		/		ceva			Politica		
19-mai-2012	2012	20-mai-2012	Black Sea Open 2012	TH regrets marxism.		Serban Pitic, David Moscovici	Economie, Politica	Prepared	Descriptiv	General	Engleza		/					Economie	Politica	
19-mai-2012	2012	20-mai-2012	Black Sea Open 2012	THW ban Saudi Arabia from the Olympic Games until it enables Saudi women to take part in competitive sports.		Serban Pitic, David Moscovici	Feminism, Sport, Relatii Internationale	Prepared	Prescriptiv	General	Engleza		/					Feminism	Sport	Relatii Internationale
19-mai-2012	2012	20-mai-2012	Black Sea Open 2012	THBT Taiwan should willingly become an autonomous region of the People's Republic of China.		Serban Pitic, David Moscovici	Relatii Internationale, Politica	Prepared	Prescriptiv	General	Engleza		/					Relatii Internationale	Politica	
15-aug.-2012	2012	19-aug.-2012	FNDA 2012 - AGORA	AP crede ca prioritatea nr. 1 a Romaniei ar trebui sa fie independenta energetica.		CA: Emil Mesaros, Stefan Strilciuc; ACA: Calin Muresanu; DCA: Adrian Ghite	Dezvoltare, Economie	Prepared	Prescriptiv	General	Romana		/		CA???			Dezvoltare	Economie	
15-aug.-2012	2012	19-aug.-2012	FNDA 2012 - AGORA	AP ar desfiinta NATO.		CA: Emil Mesaros, Stefan Strilciuc; ACA: Calin Muresanu; DCA: Adrian Ghite	Securitate Razboi si Armata	Prepared	Prescriptiv	General	Romana		/					Securitate Razboi si Armata		
15-aug.-2012	2012	19-aug.-2012	FNDA 2012 - AGORA	AP ar impune tarilor europene masuri stricte de austeritate pentru eliminarea deficitelor bugetare.		CA: Emil Mesaros, Stefan Strilciuc; ACA: Calin Muresanu; DCA: Adrian Ghite	Economie	Prepared	Prescriptiv	General	Romana		/					Economie		
15-aug.-2012	2012	19-aug.-2012	FNDA 2012 - AGORA	AP ar selecta capitanii echipelor nationale sportive prin vot popular.		CA: Emil Mesaros, Stefan Strilciuc; ACA: Calin Muresanu; DCA: Adrian Ghite	Sport	Impromptu	Prescriptiv	General	Romana		/					Sport		
15-aug.-2012	2012	19-aug.-2012	FNDA 2012 - AGORA	AP crede ca Hogwarts ar trebui sa elimine sistemul de case.		CA: Emil Mesaros, Stefan Strilciuc; ACA: Calin Muresanu; DCA: Adrian Ghite	LOL	Impromptu	Prescriptiv	General	Romana		/					LOL		
15-aug.-2012	2012	19-aug.-2012	FNDA 2012 - AGORA	AP ar acorda tratament preferential absolventilor de liceu care se indreapta spre scolile postliceale sau cu profil vocational.		CA: Emil Mesaros, Stefan Strilciuc; ACA: Calin Muresanu; DCA: Adrian Ghite	Educatie	Impromptu	Prescriptiv	General	Romana		/					Educatie		
15-aug.-2012	2012	19-aug.-2012	FNDA 2012 - AGORA	AP ar conditiona dreptul de a protesta de exercitarea dreptului de vot.		CA: Emil Mesaros, Stefan Strilciuc; ACA: Calin Muresanu; DCA: Adrian Ghite	Libertati, Politica	Impromptu	Prescriptiv	General	Romana		/					Libertati	Politica	
14-dec.-2012	2012	16-dec.-2012	Central Open 2012	THBT Turkey should launch a full scale intervention agains the Assad regime.		Serban Pitic, Flavia Negoescu	Securitate Razboi si Armata, Relatii Internationale	Prepared	Prescriptiv	General	Engleza		/		ceva			Securitate Razboi si Armata	Relatii Internationale	
14-dec.-2012	2012	16-dec.-2012	Central Open 2012	THBT the EU should veto state budgets.		Serban Pitic, Flavia Negoescu	Economie	Prepared	Prescriptiv	General	Engleza		/					Economie		
2012	2012		Selectie WSDC	THBT the desecration of religious sites is a legitimate tactic in warfare.			Securitate Razboi si Armata, Religie	Impromptu	Prescriptiv	General	Engleza		/					Securitate Razboi si Armata	Religie	
2012	2012		Selectie WSDC	THBT the EU should revoke Greece's membership to the Eurozone.			Relatii Internationale, Politica	Impromptu	Prescriptiv	General	Engleza		/					Relatii Internationale	Politica	
2012	2012		Selectie WSDC	THBT the European Central Bank should have the right to veto the budget allocation of all member states.			Economie	Impromptu	Prescriptiv	General	Engleza		/					Economie		
2012	2012		Selectie WSDC	THBT copyright in photography should belong to the subject and not to the photographer.			Arta si Cultura	Impromptu	Prescriptiv	General	Engleza		/					Arta si Cultura		
9-ian.-2013	2013	11-ian.-2013	PTA 2013 - VIII	AP nu ar mai subventiona fotbalul pana celelalte sporturi nu vor fi la fel de populare.		CA:Serban, Shanu; DCA: Laura	Sport	Prepared	Prescriptiv	Incepator	Romana	Runde	Runde		R1, eliminatorii			Sport		
9-ian.-2013	2013	11-ian.-2013	PTA 2013 - VIII	AP crede ca a descarca materiale piratate este imoral.		CA:Serban, Shanu; DCA: Laura	Moralitate	Prepared	Descriptiv	Incepator	Romana	Runde	Runde					Moralitate		
9-ian.-2013	2013	11-ian.-2013	PTA 2013 - VIII	AP ar reintroduce pedeapsa corporala in scoli.		CA:Serban, Shanu; DCA: Laura	Educatie	Impromptu	Prescriptiv	Incepator	Romana	R4	Runde					Educatie		
9-ian.-2013	2013	11-ian.-2013	PTA 2013 - VIII	AP crede ca ecoterorismul este justificat.		CA:Serban, Shanu; DCA: Laura	Terorism, Mediu	Prepared	Descriptiv	Incepator	Romana	Finala	Eliminatorii					Terorism	Mediu	
1-mar.-2013	2013	3-mar.-2013	Saint George VII	AP crede că România ar trebui să recunoască independența Kosovo.		CA: Emi Beteringhe DCA: Serban Pitic	Relatii Internationale	Prepared	Prescriptiv	General	Romana	R2, Finala	General		R1, eliminatorii			Relatii Internationale		
1-mar.-2013	2013	3-mar.-2013	Saint George VII	AP ar da doua voturi persoanelor sub limita de saracie.		CA: Emi Beteringhe DCA: Serban Pitic	Politici Sociale, Economie, Politica	Impromptu	Prescriptiv	General	Romana	R3	Runde					Politici Sociale	Economie	Politica
1-mar.-2013	2013	3-mar.-2013	Saint George VII	AP ar interzice țărilor membre să importe din afara UE produse care exista din abundență în agricultura Uniunii.		CA: Emi DCA: Serban	Relatii Internationale, Economie, Dezvoltare	Prepared	Prescriptiv	General	Romana	R4, Finala Boboci	General					Relatii Internationale	Economie	Dezvoltare
5-apr.-2013	2013	8-apr.-2013	Racovita Open 2013	AP ar renunta la moneda euro.		CA: Radu Cotarcea & Radu Tiganas; DCA: Liviu Gajora, Madalin Guruianu & Ioana Stupariu; JCA: Ioana Georgescu	Economie	Prepared	Prescriptiv	General	Romana	R1, R4	Runde					Economie		
5-apr.-2013	2013	8-apr.-2013	Racovita Open 2013	AP crede ca scoala nu este locul potrivit pentru promovarea miscari LGBT.		CA: Radu Cotarcea & Radu Tiganas; DCA: Liviu Gajora, Madalin Guruianu & Ioana Stupariu; JCA: Ioana Georgescu	LGBT+, Educatie	Impromptu	Descriptiv	General	Romana	R3	Runde					LGBT+	Educatie	
5-apr.-2013	2013	8-apr.-2013	Racovita Open 2013	APcc statele democratice occidentale ar trebui sa acorde azil in mod neconditionat femeilor care provin din tari in care se aplica legea sharia.		CA: Radu Cotarcea & Radu Tiganas; DCA: Liviu Gajora, Madalin Guruianu & Ioana Stupariu; JCA: Ioana Georgescu	Relatii Internationale, Religie	Prepared	Prescriptiv	General	Romana	R2, R5	Runde					Relatii Internationale	Religie	
5-apr.-2013	2013	8-apr.-2013	Racovita Open 2013	AP crede ca Tony Stark ar trebui sa-si cedeze costumul de Iron Man in favoarea guvernului Statelor Unite.		CA: Radu Cotarcea & Radu Tiganas; DCA: Liviu Gajora, Madalin Guruianu & Ioana Stupariu; JCA: Ioana Georgescu	Securitate Razboi si Armata, LOL, Stiinta si tehnologie	Impromptu	Prescriptiv	General	Romana	Sfert	Eliminatorii					Securitate Razboi si Armata	LOL	Stiinta si tehnologie
5-apr.-2013	2013	8-apr.-2013	Racovita Open 2013	AP ar elimina orice restrictie in materie de imigratie.		CA: Radu Cotarcea & Radu Tiganas; DCA: Liviu Gajora, Madalin Guruianu & Ioana Stupariu; JCA: Ioana Georgescu	Relatii Internationale, Libertati	Impromptu	Prescriptiv	General	Romana	Semi	Eliminatorii					Relatii Internationale	Libertati	
5-apr.-2013	2013	8-apr.-2013	Racovita Open 2013	AP crede ca directorii companiilor din Top 500 Mondial ar trebui sa fie alesi de populatie prin vot democratic.		CA: Radu Cotarcea & Radu Tiganas; DCA: Liviu Gajora, Madalin Guruianu & Ioana Stupariu; JCA: Ioana Georgescu	Afaceri, Politica	Impromptu	Prescriptiv	General	Romana	Finala	Eliminatorii					Afaceri	Politica	
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THBT the European Union should automatically confirm membership to regions of member states that secede from their parent state		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Relatii Internationale	Prepared	Prescriptiv	General	Engleza	R1	Runde					Relatii Internationale		
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THW require prespective parents to obtain a parenting license prior to having children		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Familie	Impromptu	Prescriptiv	General	Engleza	R2	Runde					Familie		
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THBT that the IMF, World Bank and similar bodies should fund only developing world initiatives that go toward value-added and innovative industries rather than tourism.		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Dezvoltare, Afaceri	Prepared	Prescriptiv	General	Engleza	R3	Runde					Dezvoltare	Afaceri	
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THBT the state should not fund any religious institution which does not uphold western liberal values such as gender equality, women's reproductive freedom or people's right to have same sex partnerships		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Religie, LGBT+, Minoritati	Impromptu	Prescriptiv	General	Engleza	R4	Runde					Religie	LGBT+	Minoritati
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THW let schools design their own curriculum, without any interference from local or state authorities.		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Educatie	Prepared	Prescriptiv	General	Engleza	R5	Runde					Educatie		
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THW criminalize all forms of racist speech and behavior, even where it falls short of directly inciting racial hatred or violence		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Minoritati, Justitie	Impromptu	Prescriptiv	General	Engleza	R6	Runde					Minoritati	Justitie	
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THW punish poachers of endangered species in the same way as murderers		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Justitie	Prepared	Prescriptiv	General	Engleza	R7	Runde					Justitie		
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THW limit severely the time that minors are allowed to spend playing video games		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Educatie, Stiinta si tehnologie	Impromptu	Prescriptiv	General	Engleza	R8	Runde					Educatie	Stiinta si tehnologie	
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	TH would limit the amount of money that corporations can spend on information campaigns when they contradict established scientific facts or on lobbying campaigns when they look to restrict the information available to the public		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Politica, Mass/Social Media	Impromptu	Prescriptiv	General	Engleza	Sfert	Eliminatorii					Politica	Mass/Social Media	
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THW criminalize the behavior of parents who stop supporting their children financially or otherwise after they discover that their children are gay		CA: John Wickham; DCA: Mesa & Stefi Ionescu	LGBT+, Familie	Impromptu	Prescriptiv	General	Engleza	Semi	Eliminatorii					LGBT+	Familie	
7-apr.-2013	2013	11-apr.-2013	Fiat! Debate - internationala	THB the EU should centrally govern all vital aspects of the economies of eurozone nations		CA: John Wickham; DCA: Mesa & Stefi Ionescu	Economie	Prepared	Prescriptiv	General	Engleza	Finala	Eliminatorii					Economie		
10-mai-2013	2013	12-mai-2013	Black Sea Open 2013	THW break up finnancial institutions that are too big to fail.		CA:Radu Tiganas, Nae Sovaiala, Liviu Gajora	Afaceri	Prepared	Prescriptiv	General	Engleza	R1	Runde					Afaceri		
10-mai-2013	2013	12-mai-2013	Black Sea Open 2013	THW allow deathrow prisoners to chose to be subject to genetical experiments in return for a life sentence.		CA:Radu Tiganas, Nae Sovaiala, Liviu Gajora	Justitie, Libertati	Impromptu	Prescriptiv	General	Engleza	R2	Runde					Justitie	Libertati	
10-mai-2013	2013	12-mai-2013	Black Sea Open 2013	THW ban spiritism as a paid service (spiritism - any practice relating to the supernatural, fortune-telling, mediums, mind-reading, etc.)		CA:Radu Tiganas, Nae Sovaiala, Liviu Gajora	Afaceri, Religie	Impromptu	Prescriptiv	General	Engleza	R3	Runde					Afaceri	Religie	
10-mai-2013	2013	12-mai-2013	Black Sea Open 2013	TH favors a one state solution for the Israel-Palestine conflict.		CA:Radu Tiganas, Nae Sovaiala, Liviu Gajora	Relatii Internationale	Prepared	Prescriptiv	General	Engleza	R4	Runde					Relatii Internationale		
10-mai-2013	2013	12-mai-2013	Black Sea Open 2013	THBT the United States should strike preemptively against North Korea		CA:Radu Tiganas, Nae Sovaiala, Liviu Gajora	Securitate Razboi si Armata	Impromptu	Prescriptiv	General	Engleza	Sfert	Eliminatorii					Securitate Razboi si Armata		
10-mai-2013	2013	12-mai-2013	Black Sea Open 2013	THBT the vatican should declassify all of its documents (financial documents, clerical orders, official letters).		CA:Radu Tiganas, Nae Sovaiala, Liviu Gajora	Religie	Impromptu	Prescriptiv	General	Engleza	Semi	Eliminatorii					Religie		
10-mai-2013	2013	12-mai-2013	Black Sea Open 2013	THW abolish patent law.		CA:Radu Tiganas, Nae Sovaiala, Liviu Gajora	Stiinta si tehnologie, Afaceri	Prepared	Prescriptiv	General	Engleza	Finala	Eliminatorii					Stiinta si tehnologie	Afaceri	
